Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G032.8082-00.3159,032.80820,-00.31591,283.08438,-00.25413,01.16,01.16,00004.27,00000.46,00015.85,00002.39,02.881,00.041,02.5,,,,,,,00.35,-0.000,0011.4,P,0,0,0,0,0,0,0,0,0
G032.8177-00.1165,032.81770,-00.11651,282.91109,-00.15478,00.17,00.20,00003.06,00000.45,00004.42,00000.94,01.802,00.169,01.0,02.165,00.326,01.500,00.168,32.009,11.922,00.33,-0.013,0009.2,G,0,0,0,0,0,0,0,0,0
G033.1198-00.8949,033.11976,-00.89492,283.74160,-00.24089,00.10,00.10,00018.57,00001.70,00018.57,00001.78,01.500,00.031,,01.500,00.046,01.500,00.043,138.429,18.394,00.38,-0.001,0047.1,G,0,0,0,0,0,0,0,0,0
G033.3526+00.4043,033.35261,+00.40435,282.69144,+00.55878,00.10,00.10,00013.78,00001.27,00014.88,00001.46,01.559,00.035,,01.597,00.051,01.522,00.048,136.991,23.332,00.32,-0.005,0041.9,G,0,1,0,0,0,0,0,0,0
G033.4543-00.6149,033.45434,-00.61491,283.64495,+00.18453,00.10,00.10,00055.24,00004.92,00075.82,00006.78,01.757,00.026,,01.814,00.038,01.703,00.035,86.423,03.238,00.27,0.013,0201.5,G,0,0,0,0,0,0,0,0,0
G033.7952+00.4307,033.79517,+00.43071,282.86977,+00.96467,00.12,00.11,00006.76,00000.69,00008.89,00001.08,01.720,00.068,,01.828,00.108,01.618,00.087,91.228,16.516,00.31,0.009,0020.8,G,0,0,0,0,0,0,0,0,0
G033.9059-00.0436,033.90593,-00.04363,283.34249,+00.84696,00.10,00.10,00015.33,00001.39,00016.02,00001.50,01.534,00.029,,01.563,00.042,01.505,00.040,133.132,34.079,00.27,0.024,0054.9,G,0,0,0,0,1,0,0,0,0
G034.1792-00.1777,034.17918,-00.17768,283.58643,+01.02899,00.27,00.21,00003.08,00000.45,00010.14,00001.80,02.723,00.253,02.3,03.068,00.425,02.417,00.300,100.746,20.635,00.34,-0.003,0007.5,G,0,0,0,0,0,0,0,0,0
G034.4200-00.3183,034.42004,-00.31826,283.82145,+01.17920,00.11,00.11,00010.76,00001.04,00012.14,00001.33,01.593,00.049,,01.672,00.076,01.518,00.064,84.630,15.527,00.40,-0.006,0025.6,G,0,0,0,0,0,0,0,0,0
G034.8624-00.0630,034.86237,-00.06301,283.79595,+01.68927,00.37,00.37,00023.00,00002.06,00064.67,00007.25,03.397,00.018,03.0,,,,,,,00.35,0.005,0064.3,P,0,0,0,0,0,0,0,0,0
